Date,Sales,TVC Spends,Digital Impressions,Distribution Channels
Jan-16,370000,6000,3000000,1
Feb-16,890000,27000,0,2
Mar-16,820000,0,4000000,3
Apr-16,580000,0,0,4
May-16,1100000,20000,5000000,5
Jun-16,770000,0,0,6
Jul-16,1030000,20000,0,7
Aug-16,780000,0,0,8
Sep-16,950000,0,8000000,9
Oct-16,1060000,18000,0,10
Nov-16,980000,9000,0,11
Dec-16,960000,0,5000000,12
Jan-17,680000,0,0,13
Feb-17,960000,0,11000000,14
Mar-17,1570000,13000,16000000,15
Apr-17,1980000,25000,11000000,16
May-17,1450000,0,5000000,17
Jun-17,1320000,15000,0,18
Jul-17,960000,0,0,19
Aug-17,1350000,0,15000000,20
